Participant,block_order,trial,A,B,DA,DB,R,index
3081,5,1,-3,-30,0,101,0,1
3081,5,2,-6,-30,0,101,0,1
3081,5,3,-9,-30,0,101,0,1
3081,5,4,-12,-30,0,101,1,1
3081,5,5,-15,-30,0,101,0,1
3081,5,6,-18,-30,0,101,0,1
3081,5,7,-21,-30,0,101,1,1
3081,5,8,-24,-30,0,101,1,1
3081,5,9,-27,-30,0,101,1,1
3081,5,10,-30,-30,0,101,1,1
3081,5,11,-3,-30,0,7,0,2
3081,5,12,-6,-30,0,7,0,2
3081,5,13,-9,-30,0,7,0,2
3081,5,14,-12,-30,0,7,0,2
3081,5,15,-15,-30,0,7,0,2
3081,5,16,-18,-30,0,7,0,2
3081,5,17,-21,-30,0,7,0,2
3081,5,18,-24,-30,0,7,0,2
3081,5,19,-27,-30,0,7,0,2
3081,5,20,-30,-30,0,7,1,2
3081,5,21,-3,-30,0,56,0,3
3081,5,22,-6,-30,0,56,0,3
3081,5,23,-9,-30,0,56,0,3
3081,5,24,-12,-30,0,56,0,3
3081,5,25,-15,-30,0,56,0,3
3081,5,26,-18,-30,0,56,1,3
3081,5,27,-21,-30,0,56,1,3
3081,5,28,-24,-30,0,56,1,3
3081,5,29,-27,-30,0,56,1,3
3081,5,30,-30,-30,0,56,1,3
3081,5,31,-3,-30,0,15,0,4
3081,5,32,-6,-30,0,15,0,4
3081,5,33,-9,-30,0,15,0,4
3081,5,34,-12,-30,0,15,0,4
3081,5,35,-15,-30,0,15,0,4
3081,5,36,-18,-30,0,15,0,4
3081,5,37,-21,-30,0,15,0,4
3081,5,38,-24,-30,0,15,0,4
3081,5,39,-27,-30,0,15,1,4
3081,5,40,-30,-30,0,15,1,4
3081,5,41,-3,-30,0,29,0,5
3081,5,42,-6,-30,0,29,0,5
3081,5,43,-9,-30,0,29,0,5
3081,5,44,-12,-30,0,29,0,5
3081,5,45,-15,-30,0,29,0,5
3081,5,46,-18,-30,0,29,0,5
3081,5,47,-21,-30,0,29,0,5
3081,5,48,-24,-30,0,29,0,5
3081,5,49,-27,-30,0,29,1,5
3081,5,50,-30,-30,0,29,1,5
