Participant,block_order,trial,A,B,DA,DB,R,index
3056,6,1,-3,-30,0,56,0,1
3056,6,2,-6,-30,0,56,1,1
3056,6,3,-9,-30,0,56,1,1
3056,6,4,-12,-30,0,56,1,1
3056,6,5,-15,-30,0,56,1,1
3056,6,6,-18,-30,0,56,1,1
3056,6,7,-21,-30,0,56,1,1
3056,6,8,-24,-30,0,56,0,1
3056,6,9,-27,-30,0,56,0,1
3056,6,10,-30,-30,0,56,1,1
3056,6,11,-3,-30,0,29,1,2
3056,6,12,-6,-30,0,29,1,2
3056,6,13,-9,-30,0,29,1,2
3056,6,14,-12,-30,0,29,0,2
3056,6,15,-15,-30,0,29,0,2
3056,6,16,-18,-30,0,29,1,2
3056,6,17,-21,-30,0,29,0,2
3056,6,18,-24,-30,0,29,0,2
3056,6,19,-27,-30,0,29,0,2
3056,6,20,-30,-30,0,29,0,2
3056,6,21,-3,-30,0,101,1,3
3056,6,22,-6,-30,0,101,1,3
3056,6,23,-9,-30,0,101,1,3
3056,6,24,-12,-30,0,101,0,3
3056,6,25,-15,-30,0,101,0,3
3056,6,26,-18,-30,0,101,0,3
3056,6,27,-21,-30,0,101,0,3
3056,6,28,-24,-30,0,101,1,3
3056,6,29,-27,-30,0,101,1,3
3056,6,30,-30,-30,0,101,1,3
3056,6,31,-3,-30,0,15,1,4
3056,6,32,-6,-30,0,15,0,4
3056,6,33,-9,-30,0,15,0,4
3056,6,34,-12,-30,0,15,0,4
3056,6,35,-15,-30,0,15,0,4
3056,6,36,-18,-30,0,15,0,4
3056,6,37,-21,-30,0,15,0,4
3056,6,38,-24,-30,0,15,0,4
3056,6,39,-27,-30,0,15,1,4
3056,6,40,-30,-30,0,15,1,4
3056,6,41,-3,-30,0,7,0,5
3056,6,42,-6,-30,0,7,0,5
3056,6,43,-9,-30,0,7,0,5
3056,6,44,-12,-30,0,7,0,5
3056,6,45,-15,-30,0,7,0,5
3056,6,46,-18,-30,0,7,0,5
3056,6,47,-21,-30,0,7,0,5
3056,6,48,-24,-30,0,7,0,5
3056,6,49,-27,-30,0,7,1,5
3056,6,50,-30,-30,0,7,1,5
