Participant,block_order,group,trial,A,B,DA,DB,R,index
2020,10,3,1,30,30,0,29,0,1
2020,10,3,2,27,30,0,29,0,1
2020,10,3,3,24,30,0,29,0,1
2020,10,3,4,21,30,0,29,1,1
2020,10,3,5,18,30,0,29,0,1
2020,10,3,6,15,30,0,29,1,1
2020,10,3,7,12,30,0,29,1,1
2020,10,3,8,9,30,0,29,0,1
2020,10,3,9,6,30,0,29,0,1
2020,10,3,10,3,30,0,29,1,1
2020,10,3,11,30,30,0,15,0,2
2020,10,3,12,27,30,0,15,0,2
2020,10,3,13,24,30,0,15,0,2
2020,10,3,14,21,30,0,15,0,2
2020,10,3,15,18,30,0,15,0,2
2020,10,3,16,15,30,0,15,1,2
2020,10,3,17,12,30,0,15,1,2
2020,10,3,18,9,30,0,15,1,2
2020,10,3,19,6,30,0,15,1,2
2020,10,3,20,3,30,0,15,1,2
2020,10,3,21,30,30,0,56,0,3
2020,10,3,22,27,30,0,56,0,3
2020,10,3,23,24,30,0,56,0,3
2020,10,3,24,21,30,0,56,0,3
2020,10,3,25,18,30,0,56,0,3
2020,10,3,26,15,30,0,56,0,3
2020,10,3,27,12,30,0,56,0,3
2020,10,3,28,9,30,0,56,0,3
2020,10,3,29,6,30,0,56,0,3
2020,10,3,30,3,30,0,56,0,3
2020,10,3,31,30,30,0,7,0,4
2020,10,3,32,27,30,0,7,0,4
2020,10,3,33,24,30,0,7,0,4
2020,10,3,34,21,30,0,7,1,4
2020,10,3,35,18,30,0,7,1,4
2020,10,3,36,15,30,0,7,0,4
2020,10,3,37,12,30,0,7,0,4
2020,10,3,38,9,30,0,7,1,4
2020,10,3,39,6,30,0,7,1,4
2020,10,3,40,3,30,0,7,1,4
2020,10,3,41,30,30,0,101,0,5
2020,10,3,42,27,30,0,101,0,5
2020,10,3,43,24,30,0,101,0,5
2020,10,3,44,21,30,0,101,0,5
2020,10,3,45,18,30,0,101,0,5
2020,10,3,46,15,30,0,101,0,5
2020,10,3,47,12,30,0,101,0,5
2020,10,3,48,9,30,0,101,0,5
2020,10,3,49,6,30,0,101,0,5
2020,10,3,50,3,30,0,101,0,5
