Participant	block_order	group	trial	A	B	DA	DB	R	index	ID	PA	PB
1008	6	1	40	3	30	0	15	1	4	6	1	1
1008	6	1	41	30	30	0	7	0	5	6	1	1
1008	6	1	42	27	30	0	7	0	5	6	1	1
1008	6	1	43	24	30	0	7	0	5	6	1	1
1008	6	1	44	21	30	0	7	1	5	6	1	1
1008	6	1	45	18	30	0	7	1	5	6	1	1
1008	6	1	46	15	30	0	7	1	5	6	1	1
1008	6	1	47	12	30	0	7	1	5	6	1	1
1008	6	1	48	9	30	0	7	1	5	6	1	1
1008	6	1	49	6	30	0	7	1	5	6	1	1
1008	6	1	50	3	30	0	7	1	5	6	1	1
1012	8	1	1	30	30	0	7	0	1	7	1	1
1012	8	1	2	27	30	0	7	0	1	7	1	1
1012	8	1	3	24	30	0	7	1	1	7	1	1
1012	8	1	4	21	30	0	7	1	1	7	1	1
1012	8	1	5	18	30	0	7	1	1	7	1	1
1012	8	1	6	15	30	0	7	1	1	7	1	1
1012	8	1	7	12	30	0	7	1	1	7	1	1
1012	8	1	8	9	30	0	7	1	1	7	1	1
1012	8	1	9	6	30	0	7	1	1	7	1	1
1012	8	1	10	3	30	0	7	1	1	7	1	1
1012	8	1	11	30	30	0	101	0	2	7	1	1
1012	8	1	12	27	30	0	101	0	2	7	1	1
1012	8	1	13	24	30	0	101	0	2	7	1	1
1012	8	1	14	21	30	0	101	0	2	7	1	1
1012	8	1	15	18	30	0	101	1	2	7	1	1
1012	8	1	16	15	30	0	101	1	2	7	1	1
1012	8	1	17	12	30	0	101	1	2	7	1	1
1012	8	1	18	9	30	0	101	1	2	7	1	1
1012	8	1	19	6	30	0	101	1	2	7	1	1
1012	8	1	20	3	30	0	101	1	2	7	1	1
1012	8	1	21	30	30	0	15	0	3	7	1	1
1012	8	1	22	27	30	0	15	0	3	7	1	1
1012	8	1	23	24	30	0	15	1	3	7	1	1
1012	8	1	24	21	30	0	15	1	3	7	1	1
1012	8	1	25	18	30	0	15	1	3	7	1	1
1012	8	1	26	15	30	0	15	1	3	7	1	1
1012	8	1	27	12	30	0	15	1	3	7	1	1
1012	8	1	28	9	30	0	15	1	3	7	1	1
1012	8	1	29	6	30	0	15	1	3	7	1	1
1012	8	1	30	3	30	0	15	1	3	7	1	1
1012	8	1	31	30	30	0	56	0	4	7	1	1
1012	8	1	32	27	30	0	56	0	4	7	1	1
1012	8	1	33	24	30	0	56	0	4	7	1	1
1012	8	1	34	21	30	0	56	0	4	7	1	1
1012	8	1	35	18	30	0	56	1	4	7	1	1
1012	8	1	36	15	30	0	56	1	4	7	1	1
1012	8	1	37	12	30	0	56	1	4	7	1	1
1012	8	1	38	9	30	0	56	1	4	7	1	1
1012	8	1	39	6	30	0	56	1	4	7	1	1
1012	8	1	40	3	30	0	56	1	4	7	1	1
1012	8	1	41	30	30	0	29	0	5	7	1	1
1012	8	1	42	27	30	0	29	0	5	7	1	1
1012	8	1	43	24	30	0	29	0	5	7	1	1
1012	8	1	44	21	30	0	29	1	5	7	1	1
1012	8	1	45	18	30	0	29	1	5	7	1	1
1012	8	1	46	15	30	0	29	1	5	7	1	1
