,Participant,RA,RB,DA,DB,R,paradigm,reward_mag,id,condition,trial
0,1012,30,30,0,7,0,deferred,low,0,0,0
1,1012,27,30,0,7,0,deferred,low,0,0,1
2,1012,24,30,0,7,1,deferred,low,0,0,2
3,1012,21,30,0,7,1,deferred,low,0,0,3
4,1012,18,30,0,7,1,deferred,low,0,0,4
5,1012,15,30,0,7,1,deferred,low,0,0,5
6,1012,12,30,0,7,1,deferred,low,0,0,6
7,1012,9,30,0,7,1,deferred,low,0,0,7
8,1012,6,30,0,7,1,deferred,low,0,0,8
9,1012,3,30,0,7,1,deferred,low,0,0,9
10,1012,30,30,0,101,0,deferred,low,0,0,10
11,1012,27,30,0,101,0,deferred,low,0,0,11
12,1012,24,30,0,101,0,deferred,low,0,0,12
13,1012,21,30,0,101,0,deferred,low,0,0,13
14,1012,18,30,0,101,1,deferred,low,0,0,14
15,1012,15,30,0,101,1,deferred,low,0,0,15
16,1012,12,30,0,101,1,deferred,low,0,0,16
17,1012,9,30,0,101,1,deferred,low,0,0,17
18,1012,6,30,0,101,1,deferred,low,0,0,18
19,1012,3,30,0,101,1,deferred,low,0,0,19
20,1012,30,30,0,15,0,deferred,low,0,0,20
21,1012,27,30,0,15,0,deferred,low,0,0,21
22,1012,24,30,0,15,1,deferred,low,0,0,22
23,1012,21,30,0,15,1,deferred,low,0,0,23
24,1012,18,30,0,15,1,deferred,low,0,0,24
25,1012,15,30,0,15,1,deferred,low,0,0,25
26,1012,12,30,0,15,1,deferred,low,0,0,26
27,1012,9,30,0,15,1,deferred,low,0,0,27
28,1012,6,30,0,15,1,deferred,low,0,0,28
29,1012,3,30,0,15,1,deferred,low,0,0,29
30,1012,30,30,0,56,0,deferred,low,0,0,30
31,1012,27,30,0,56,0,deferred,low,0,0,31
32,1012,24,30,0,56,0,deferred,low,0,0,32
33,1012,21,30,0,56,0,deferred,low,0,0,33
34,1012,18,30,0,56,1,deferred,low,0,0,34
35,1012,15,30,0,56,1,deferred,low,0,0,35
36,1012,12,30,0,56,1,deferred,low,0,0,36
37,1012,9,30,0,56,1,deferred,low,0,0,37
38,1012,6,30,0,56,1,deferred,low,0,0,38
39,1012,3,30,0,56,1,deferred,low,0,0,39
40,1012,30,30,0,29,0,deferred,low,0,0,40
41,1012,27,30,0,29,0,deferred,low,0,0,41
42,1012,24,30,0,29,0,deferred,low,0,0,42
43,1012,21,30,0,29,1,deferred,low,0,0,43
44,1012,18,30,0,29,1,deferred,low,0,0,44
45,1012,15,30,0,29,1,deferred,low,0,0,45
46,1012,12,30,0,29,1,deferred,low,0,0,46
47,1012,9,30,0,29,1,deferred,low,0,0,47
48,1012,6,30,0,29,1,deferred,low,0,0,48
49,1012,3,30,0,29,1,deferred,low,0,0,49
0,1006,3,30,0,56,1,deferred,low,1,0,50
1,1006,6,30,0,56,1,deferred,low,1,0,51
2,1006,9,30,0,56,1,deferred,low,1,0,52
3,1006,12,30,0,56,1,deferred,low,1,0,53
4,1006,15,30,0,56,1,deferred,low,1,0,54
5,1006,18,30,0,56,0,deferred,low,1,0,55
6,1006,21,30,0,56,0,deferred,low,1,0,56
7,1006,24,30,0,56,0,deferred,low,1,0,57
8,1006,27,30,0,56,0,deferred,low,1,0,58
9,1006,30,30,0,56,0,deferred,low,1,0,59
10,1006,3,30,0,101,1,deferred,low,1,0,60
11,1006,6,30,0,101,1,deferred,low,1,0,61
12,1006,9,30,0,101,1,deferred,low,1,0,62
13,1006,12,30,0,101,1,deferred,low,1,0,63
14,1006,15,30,0,101,0,deferred,low,1,0,64
15,1006,18,30,0,101,1,deferred,low,1,0,65
16,1006,21,30,0,101,0,deferred,low,1,0,66
17,1006,24,30,0,101,0,deferred,low,1,0,67
18,1006,27,30,0,101,0,deferred,low,1,0,68
19,1006,30,30,0,101,0,deferred,low,1,0,69
20,1006,3,30,0,29,1,deferred,low,1,0,70
21,1006,6,30,0,29,1,deferred,low,1,0,71
22,1006,9,30,0,29,1,deferred,low,1,0,72
23,1006,12,30,0,29,1,deferred,low,1,0,73
24,1006,15,30,0,29,1,deferred,low,1,0,74
25,1006,18,30,0,29,0,deferred,low,1,0,75
26,1006,21,30,0,29,0,deferred,low,1,0,76
27,1006,24,30,0,29,0,deferred,low,1,0,77
28,1006,27,30,0,29,0,deferred,low,1,0,78
29,1006,30,30,0,29,0,deferred,low,1,0,79
30,1006,3,30,0,7,1,deferred,low,1,0,80
31,1006,6,30,0,7,1,deferred,low,1,0,81
32,1006,9,30,0,7,1,deferred,low,1,0,82
33,1006,12,30,0,7,1,deferred,low,1,0,83
34,1006,15,30,0,7,1,deferred,low,1,0,84
35,1006,18,30,0,7,1,deferred,low,1,0,85
36,1006,21,30,0,7,1,deferred,low,1,0,86
37,1006,24,30,0,7,1,deferred,low,1,0,87
38,1006,27,30,0,7,1,deferred,low,1,0,88
39,1006,30,30,0,7,0,deferred,low,1,0,89
40,1006,3,30,0,15,1,deferred,low,1,0,90
41,1006,6,30,0,15,1,deferred,low,1,0,91
42,1006,9,30,0,15,1,deferred,low,1,0,92
43,1006,12,30,0,15,1,deferred,low,1,0,93
44,1006,15,30,0,15,1,deferred,low,1,0,94
45,1006,18,30,0,15,1,deferred,low,1,0,95
46,1006,21,30,0,15,1,deferred,low,1,0,96
47,1006,24,30,0,15,1,deferred,low,1,0,97
48,1006,27,30,0,15,1,deferred,low,1,0,98
49,1006,30,30,0,15,0,deferred,low,1,0,99
0,1007,3,30,0,101,0,deferred,low,2,0,100
1,1007,6,30,0,101,0,deferred,low,2,0,101
2,1007,9,30,0,101,0,deferred,low,2,0,102
3,1007,12,30,0,101,0,deferred,low,2,0,103
4,1007,15,30,0,101,0,deferred,low,2,0,104
5,1007,18,30,0,101,0,deferred,low,2,0,105
6,1007,21,30,0,101,0,deferred,low,2,0,106
7,1007,24,30,0,101,0,deferred,low,2,0,107
8,1007,27,30,0,101,0,deferred,low,2,0,108
9,1007,30,30,0,101,0,deferred,low,2,0,109
10,1007,3,30,0,7,1,deferred,low,2,0,110
11,1007,6,30,0,7,0,deferred,low,2,0,111
12,1007,9,30,0,7,1,deferred,low,2,0,112
13,1007,12,30,0,7,0,deferred,low,2,0,113
14,1007,15,30,0,7,0,deferred,low,2,0,114
15,1007,18,30,0,7,0,deferred,low,2,0,115
16,1007,21,30,0,7,0,deferred,low,2,0,116
17,1007,24,30,0,7,0,deferred,low,2,0,117
18,1007,27,30,0,7,0,deferred,low,2,0,118
19,1007,30,30,0,7,0,deferred,low,2,0,119
20,1007,3,30,0,56,0,deferred,low,2,0,120
21,1007,6,30,0,56,0,deferred,low,2,0,121
22,1007,9,30,0,56,0,deferred,low,2,0,122
23,1007,12,30,0,56,0,deferred,low,2,0,123
24,1007,15,30,0,56,0,deferred,low,2,0,124
25,1007,18,30,0,56,0,deferred,low,2,0,125
26,1007,21,30,0,56,0,deferred,low,2,0,126
27,1007,24,30,0,56,0,deferred,low,2,0,127
28,1007,27,30,0,56,0,deferred,low,2,0,128
29,1007,30,30,0,56,0,deferred,low,2,0,129
30,1007,3,30,0,15,1,deferred,low,2,0,130
31,1007,6,30,0,15,1,deferred,low,2,0,131
32,1007,9,30,0,15,1,deferred,low,2,0,132
33,1007,12,30,0,15,0,deferred,low,2,0,133
34,1007,15,30,0,15,0,deferred,low,2,0,134
35,1007,18,30,0,15,0,deferred,low,2,0,135
36,1007,21,30,0,15,0,deferred,low,2,0,136
37,1007,24,30,0,15,0,deferred,low,2,0,137
38,1007,27,30,0,15,0,deferred,low,2,0,138
39,1007,30,30,0,15,0,deferred,low,2,0,139
40,1007,3,30,0,29,1,deferred,low,2,0,140
41,1007,6,30,0,29,1,deferred,low,2,0,141
42,1007,9,30,0,29,1,deferred,low,2,0,142
43,1007,12,30,0,29,1,deferred,low,2,0,143
44,1007,15,30,0,29,1,deferred,low,2,0,144
45,1007,18,30,0,29,1,deferred,low,2,0,145
46,1007,21,30,0,29,0,deferred,low,2,0,146
47,1007,24,30,0,29,0,deferred,low,2,0,147
48,1007,27,30,0,29,0,deferred,low,2,0,148
49,1007,30,30,0,29,0,deferred,low,2,0,149
0,1013,3,30,0,15,1,deferred,low,3,0,150
1,1013,6,30,0,15,1,deferred,low,3,0,151
2,1013,9,30,0,15,1,deferred,low,3,0,152
3,1013,12,30,0,15,1,deferred,low,3,0,153
4,1013,15,30,0,15,1,deferred,low,3,0,154
5,1013,18,30,0,15,1,deferred,low,3,0,155
6,1013,21,30,0,15,0,deferred,low,3,0,156
7,1013,24,30,0,15,0,deferred,low,3,0,157
8,1013,27,30,0,15,0,deferred,low,3,0,158
9,1013,30,30,0,15,0,deferred,low,3,0,159
10,1013,3,30,0,7,1,deferred,low,3,0,160
11,1013,6,30,0,7,1,deferred,low,3,0,161
12,1013,9,30,0,7,1,deferred,low,3,0,162
13,1013,12,30,0,7,1,deferred,low,3,0,163
14,1013,15,30,0,7,1,deferred,low,3,0,164
15,1013,18,30,0,7,1,deferred,low,3,0,165
16,1013,21,30,0,7,1,deferred,low,3,0,166
17,1013,24,30,0,7,1,deferred,low,3,0,167
18,1013,27,30,0,7,0,deferred,low,3,0,168
19,1013,30,30,0,7,0,deferred,low,3,0,169
20,1013,3,30,0,29,1,deferred,low,3,0,170
21,1013,6,30,0,29,1,deferred,low,3,0,171
22,1013,9,30,0,29,1,deferred,low,3,0,172
23,1013,12,30,0,29,1,deferred,low,3,0,173
24,1013,15,30,0,29,1,deferred,low,3,0,174
25,1013,18,30,0,29,1,deferred,low,3,0,175
26,1013,21,30,0,29,1,deferred,low,3,0,176
27,1013,24,30,0,29,0,deferred,low,3,0,177
28,1013,27,30,0,29,0,deferred,low,3,0,178
29,1013,30,30,0,29,0,deferred,low,3,0,179
30,1013,3,30,0,101,1,deferred,low,3,0,180
31,1013,6,30,0,101,1,deferred,low,3,0,181
32,1013,9,30,0,101,1,deferred,low,3,0,182
33,1013,12,30,0,101,1,deferred,low,3,0,183
34,1013,15,30,0,101,1,deferred,low,3,0,184
35,1013,18,30,0,101,1,deferred,low,3,0,185
36,1013,21,30,0,101,0,deferred,low,3,0,186
37,1013,24,30,0,101,0,deferred,low,3,0,187
38,1013,27,30,0,101,0,deferred,low,3,0,188
39,1013,30,30,0,101,0,deferred,low,3,0,189
40,1013,3,30,0,56,1,deferred,low,3,0,190
41,1013,6,30,0,56,1,deferred,low,3,0,191
42,1013,9,30,0,56,1,deferred,low,3,0,192
43,1013,12,30,0,56,1,deferred,low,3,0,193
44,1013,15,30,0,56,1,deferred,low,3,0,194
45,1013,18,30,0,56,1,deferred,low,3,0,195
46,1013,21,30,0,56,1,deferred,low,3,0,196
47,1013,24,30,0,56,0,deferred,low,3,0,197
48,1013,27,30,0,56,0,deferred,low,3,0,198
49,1013,30,30,0,56,0,deferred,low,3,0,199
0,1005,3,30,0,29,1,deferred,low,4,0,200
1,1005,6,30,0,29,0,deferred,low,4,0,201
2,1005,9,30,0,29,0,deferred,low,4,0,202
3,1005,12,30,0,29,0,deferred,low,4,0,203
4,1005,15,30,0,29,0,deferred,low,4,0,204
5,1005,18,30,0,29,0,deferred,low,4,0,205
6,1005,21,30,0,29,1,deferred,low,4,0,206
7,1005,24,30,0,29,0,deferred,low,4,0,207
8,1005,27,30,0,29,1,deferred,low,4,0,208
9,1005,30,30,0,29,0,deferred,low,4,0,209
10,1005,3,30,0,56,1,deferred,low,4,0,210
11,1005,6,30,0,56,1,deferred,low,4,0,211
12,1005,9,30,0,56,0,deferred,low,4,0,212
13,1005,12,30,0,56,0,deferred,low,4,0,213
14,1005,15,30,0,56,0,deferred,low,4,0,214
15,1005,18,30,0,56,0,deferred,low,4,0,215
16,1005,21,30,0,56,1,deferred,low,4,0,216
17,1005,24,30,0,56,0,deferred,low,4,0,217
18,1005,27,30,0,56,0,deferred,low,4,0,218
19,1005,30,30,0,56,0,deferred,low,4,0,219
20,1005,3,30,0,15,1,deferred,low,4,0,220
21,1005,6,30,0,15,1,deferred,low,4,0,221
22,1005,9,30,0,15,1,deferred,low,4,0,222
23,1005,12,30,0,15,0,deferred,low,4,0,223
24,1005,15,30,0,15,0,deferred,low,4,0,224
25,1005,18,30,0,15,0,deferred,low,4,0,225
26,1005,21,30,0,15,0,deferred,low,4,0,226
27,1005,24,30,0,15,0,deferred,low,4,0,227
28,1005,27,30,0,15,1,deferred,low,4,0,228
29,1005,30,30,0,15,0,deferred,low,4,0,229
30,1005,3,30,0,101,1,deferred,low,4,0,230
31,1005,6,30,0,101,0,deferred,low,4,0,231
32,1005,9,30,0,101,0,deferred,low,4,0,232
33,1005,12,30,0,101,0,deferred,low,4,0,233
34,1005,15,30,0,101,0,deferred,low,4,0,234
35,1005,18,30,0,101,0,deferred,low,4,0,235
36,1005,21,30,0,101,0,deferred,low,4,0,236
37,1005,24,30,0,101,0,deferred,low,4,0,237
38,1005,27,30,0,101,0,deferred,low,4,0,238
39,1005,30,30,0,101,0,deferred,low,4,0,239
40,1005,3,30,0,7,1,deferred,low,4,0,240
41,1005,6,30,0,7,1,deferred,low,4,0,241
42,1005,9,30,0,7,1,deferred,low,4,0,242
43,1005,12,30,0,7,1,deferred,low,4,0,243
44,1005,15,30,0,7,1,deferred,low,4,0,244
45,1005,18,30,0,7,1,deferred,low,4,0,245
46,1005,21,30,0,7,0,deferred,low,4,0,246
47,1005,24,30,0,7,0,deferred,low,4,0,247
48,1005,27,30,0,7,0,deferred,low,4,0,248
49,1005,30,30,0,7,0,deferred,low,4,0,249
0,1028,30,30,0,7,0,deferred,low,5,0,250
1,1028,27,30,0,7,1,deferred,low,5,0,251
2,1028,24,30,0,7,1,deferred,low,5,0,252
3,1028,21,30,0,7,1,deferred,low,5,0,253
4,1028,18,30,0,7,1,deferred,low,5,0,254
5,1028,15,30,0,7,1,deferred,low,5,0,255
6,1028,12,30,0,7,1,deferred,low,5,0,256
7,1028,9,30,0,7,1,deferred,low,5,0,257
8,1028,6,30,0,7,1,deferred,low,5,0,258
9,1028,3,30,0,7,1,deferred,low,5,0,259
10,1028,30,30,0,101,0,deferred,low,5,0,260
11,1028,27,30,0,101,0,deferred,low,5,0,261
12,1028,24,30,0,101,0,deferred,low,5,0,262
13,1028,21,30,0,101,0,deferred,low,5,0,263
14,1028,18,30,0,101,0,deferred,low,5,0,264
15,1028,15,30,0,101,1,deferred,low,5,0,265
16,1028,12,30,0,101,1,deferred,low,5,0,266
17,1028,9,30,0,101,1,deferred,low,5,0,267
18,1028,6,30,0,101,1,deferred,low,5,0,268
19,1028,3,30,0,101,1,deferred,low,5,0,269
20,1028,30,30,0,15,1,deferred,low,5,0,270
21,1028,27,30,0,15,1,deferred,low,5,0,271
22,1028,24,30,0,15,1,deferred,low,5,0,272
23,1028,21,30,0,15,1,deferred,low,5,0,273
24,1028,18,30,0,15,1,deferred,low,5,0,274
25,1028,15,30,0,15,1,deferred,low,5,0,275
26,1028,12,30,0,15,1,deferred,low,5,0,276
27,1028,9,30,0,15,1,deferred,low,5,0,277
28,1028,6,30,0,15,1,deferred,low,5,0,278
29,1028,3,30,0,15,1,deferred,low,5,0,279
30,1028,30,30,0,56,0,deferred,low,5,0,280
31,1028,27,30,0,56,0,deferred,low,5,0,281
32,1028,24,30,0,56,0,deferred,low,5,0,282
33,1028,21,30,0,56,0,deferred,low,5,0,283
34,1028,18,30,0,56,0,deferred,low,5,0,284
35,1028,15,30,0,56,0,deferred,low,5,0,285
36,1028,12,30,0,56,1,deferred,low,5,0,286
37,1028,9,30,0,56,1,deferred,low,5,0,287
38,1028,6,30,0,56,0,deferred,low,5,0,288
39,1028,3,30,0,56,1,deferred,low,5,0,289
40,1028,30,30,0,29,0,deferred,low,5,0,290
41,1028,27,30,0,29,1,deferred,low,5,0,291
42,1028,24,30,0,29,1,deferred,low,5,0,292
43,1028,21,30,0,29,1,deferred,low,5,0,293
44,1028,18,30,0,29,1,deferred,low,5,0,294
45,1028,15,30,0,29,1,deferred,low,5,0,295
46,1028,12,30,0,29,1,deferred,low,5,0,296
47,1028,9,30,0,29,1,deferred,low,5,0,297
48,1028,6,30,0,29,1,deferred,low,5,0,298
49,1028,3,30,0,29,1,deferred,low,5,0,299
0,1015,30,30,0,29,0,deferred,low,6,0,300
1,1015,27,30,0,29,0,deferred,low,6,0,301
2,1015,24,30,0,29,0,deferred,low,6,0,302
3,1015,21,30,0,29,0,deferred,low,6,0,303
4,1015,18,30,0,29,0,deferred,low,6,0,304
5,1015,15,30,0,29,0,deferred,low,6,0,305
6,1015,12,30,0,29,1,deferred,low,6,0,306
7,1015,9,30,0,29,1,deferred,low,6,0,307
8,1015,6,30,0,29,1,deferred,low,6,0,308
9,1015,3,30,0,29,1,deferred,low,6,0,309
10,1015,30,30,0,15,0,deferred,low,6,0,310
11,1015,27,30,0,15,0,deferred,low,6,0,311
12,1015,24,30,0,15,0,deferred,low,6,0,312
13,1015,21,30,0,15,0,deferred,low,6,0,313
14,1015,18,30,0,15,0,deferred,low,6,0,314
15,1015,15,30,0,15,0,deferred,low,6,0,315
16,1015,12,30,0,15,1,deferred,low,6,0,316
17,1015,9,30,0,15,1,deferred,low,6,0,317
18,1015,6,30,0,15,1,deferred,low,6,0,318
19,1015,3,30,0,15,1,deferred,low,6,0,319
20,1015,30,30,0,56,0,deferred,low,6,0,320
21,1015,27,30,0,56,0,deferred,low,6,0,321
22,1015,24,30,0,56,0,deferred,low,6,0,322
23,1015,21,30,0,56,0,deferred,low,6,0,323
24,1015,18,30,0,56,0,deferred,low,6,0,324
25,1015,15,30,0,56,0,deferred,low,6,0,325
26,1015,12,30,0,56,0,deferred,low,6,0,326
27,1015,9,30,0,56,1,deferred,low,6,0,327
28,1015,6,30,0,56,1,deferred,low,6,0,328
29,1015,3,30,0,56,1,deferred,low,6,0,329
30,1015,30,30,0,7,0,deferred,low,6,0,330
31,1015,27,30,0,7,1,deferred,low,6,0,331
32,1015,24,30,0,7,1,deferred,low,6,0,332
33,1015,21,30,0,7,1,deferred,low,6,0,333
34,1015,18,30,0,7,1,deferred,low,6,0,334
35,1015,15,30,0,7,1,deferred,low,6,0,335
36,1015,12,30,0,7,1,deferred,low,6,0,336
37,1015,9,30,0,7,1,deferred,low,6,0,337
38,1015,6,30,0,7,1,deferred,low,6,0,338
39,1015,3,30,0,7,1,deferred,low,6,0,339
40,1015,30,30,0,101,0,deferred,low,6,0,340
41,1015,27,30,0,101,0,deferred,low,6,0,341
42,1015,24,30,0,101,0,deferred,low,6,0,342
43,1015,21,30,0,101,0,deferred,low,6,0,343
44,1015,18,30,0,101,0,deferred,low,6,0,344
45,1015,15,30,0,101,0,deferred,low,6,0,345
46,1015,12,30,0,101,0,deferred,low,6,0,346
47,1015,9,30,0,101,0,deferred,low,6,0,347
48,1015,6,30,0,101,0,deferred,low,6,0,348
49,1015,3,30,0,101,1,deferred,low,6,0,349
0,1003,30,30,0,15,0,deferred,low,7,0,350
1,1003,27,30,0,15,1,deferred,low,7,0,351
2,1003,24,30,0,15,1,deferred,low,7,0,352
3,1003,21,30,0,15,1,deferred,low,7,0,353
4,1003,18,30,0,15,1,deferred,low,7,0,354
5,1003,15,30,0,15,1,deferred,low,7,0,355
6,1003,12,30,0,15,1,deferred,low,7,0,356
7,1003,9,30,0,15,1,deferred,low,7,0,357
8,1003,6,30,0,15,1,deferred,low,7,0,358
9,1003,3,30,0,15,1,deferred,low,7,0,359
10,1003,30,30,0,29,0,deferred,low,7,0,360
11,1003,27,30,0,29,0,deferred,low,7,0,361
12,1003,24,30,0,29,0,deferred,low,7,0,362
13,1003,21,30,0,29,0,deferred,low,7,0,363
14,1003,18,30,0,29,1,deferred,low,7,0,364
15,1003,15,30,0,29,1,deferred,low,7,0,365
16,1003,12,30,0,29,1,deferred,low,7,0,366
17,1003,9,30,0,29,1,deferred,low,7,0,367
18,1003,6,30,0,29,1,deferred,low,7,0,368
19,1003,3,30,0,29,1,deferred,low,7,0,369
20,1003,30,30,0,7,0,deferred,low,7,0,370
21,1003,27,30,0,7,1,deferred,low,7,0,371
22,1003,24,30,0,7,1,deferred,low,7,0,372
23,1003,21,30,0,7,1,deferred,low,7,0,373
24,1003,18,30,0,7,1,deferred,low,7,0,374
25,1003,15,30,0,7,1,deferred,low,7,0,375
26,1003,12,30,0,7,1,deferred,low,7,0,376
27,1003,9,30,0,7,1,deferred,low,7,0,377
28,1003,6,30,0,7,1,deferred,low,7,0,378
29,1003,3,30,0,7,1,deferred,low,7,0,379
30,1003,30,30,0,56,0,deferred,low,7,0,380
31,1003,27,30,0,56,0,deferred,low,7,0,381
32,1003,24,30,0,56,0,deferred,low,7,0,382
33,1003,21,30,0,56,0,deferred,low,7,0,383
34,1003,18,30,0,56,0,deferred,low,7,0,384
35,1003,15,30,0,56,1,deferred,low,7,0,385
36,1003,12,30,0,56,1,deferred,low,7,0,386
37,1003,9,30,0,56,1,deferred,low,7,0,387
38,1003,6,30,0,56,1,deferred,low,7,0,388
39,1003,3,30,0,56,1,deferred,low,7,0,389
40,1003,30,30,0,101,0,deferred,low,7,0,390
41,1003,27,30,0,101,0,deferred,low,7,0,391
42,1003,24,30,0,101,0,deferred,low,7,0,392
43,1003,21,30,0,101,0,deferred,low,7,0,393
44,1003,18,30,0,101,0,deferred,low,7,0,394
45,1003,15,30,0,101,0,deferred,low,7,0,395
46,1003,12,30,0,101,0,deferred,low,7,0,396
47,1003,9,30,0,101,1,deferred,low,7,0,397
48,1003,6,30,0,101,0,deferred,low,7,0,398
49,1003,3,30,0,101,1,deferred,low,7,0,399
0,1002,30,30,0,7,1,deferred,low,8,0,400
1,1002,27,30,0,7,1,deferred,low,8,0,401
2,1002,24,30,0,7,1,deferred,low,8,0,402
3,1002,21,30,0,7,1,deferred,low,8,0,403
4,1002,18,30,0,7,1,deferred,low,8,0,404
5,1002,15,30,0,7,1,deferred,low,8,0,405
6,1002,12,30,0,7,1,deferred,low,8,0,406
7,1002,9,30,0,7,1,deferred,low,8,0,407
8,1002,6,30,0,7,1,deferred,low,8,0,408
9,1002,3,30,0,7,1,deferred,low,8,0,409
10,1002,30,30,0,15,1,deferred,low,8,0,410
11,1002,27,30,0,15,1,deferred,low,8,0,411
12,1002,24,30,0,15,1,deferred,low,8,0,412
13,1002,21,30,0,15,1,deferred,low,8,0,413
14,1002,18,30,0,15,1,deferred,low,8,0,414
15,1002,15,30,0,15,1,deferred,low,8,0,415
16,1002,12,30,0,15,1,deferred,low,8,0,416
17,1002,9,30,0,15,1,deferred,low,8,0,417
18,1002,6,30,0,15,1,deferred,low,8,0,418
19,1002,3,30,0,15,1,deferred,low,8,0,419
20,1002,30,30,0,101,1,deferred,low,8,0,420
21,1002,27,30,0,101,1,deferred,low,8,0,421
22,1002,24,30,0,101,0,deferred,low,8,0,422
23,1002,21,30,0,101,0,deferred,low,8,0,423
24,1002,18,30,0,101,1,deferred,low,8,0,424
25,1002,15,30,0,101,1,deferred,low,8,0,425
26,1002,12,30,0,101,1,deferred,low,8,0,426
27,1002,9,30,0,101,1,deferred,low,8,0,427
28,1002,6,30,0,101,1,deferred,low,8,0,428
29,1002,3,30,0,101,1,deferred,low,8,0,429
30,1002,30,30,0,29,1,deferred,low,8,0,430
31,1002,27,30,0,29,1,deferred,low,8,0,431
32,1002,24,30,0,29,1,deferred,low,8,0,432
33,1002,21,30,0,29,1,deferred,low,8,0,433
34,1002,18,30,0,29,0,deferred,low,8,0,434
35,1002,15,30,0,29,1,deferred,low,8,0,435
36,1002,12,30,0,29,1,deferred,low,8,0,436
37,1002,9,30,0,29,1,deferred,low,8,0,437
38,1002,6,30,0,29,1,deferred,low,8,0,438
39,1002,3,30,0,29,1,deferred,low,8,0,439
40,1002,30,30,0,56,0,deferred,low,8,0,440
41,1002,27,30,0,56,0,deferred,low,8,0,441
42,1002,24,30,0,56,0,deferred,low,8,0,442
43,1002,21,30,0,56,1,deferred,low,8,0,443
44,1002,18,30,0,56,1,deferred,low,8,0,444
45,1002,15,30,0,56,1,deferred,low,8,0,445
46,1002,12,30,0,56,1,deferred,low,8,0,446
47,1002,9,30,0,56,1,deferred,low,8,0,447
48,1002,6,30,0,56,1,deferred,low,8,0,448
49,1002,3,30,0,56,1,deferred,low,8,0,449
0,1065,3,30,0,15,1,deferred,low,9,0,450
1,1065,6,30,0,15,1,deferred,low,9,0,451
2,1065,9,30,0,15,1,deferred,low,9,0,452
3,1065,12,30,0,15,1,deferred,low,9,0,453
4,1065,15,30,0,15,1,deferred,low,9,0,454
5,1065,18,30,0,15,1,deferred,low,9,0,455
6,1065,21,30,0,15,1,deferred,low,9,0,456
7,1065,24,30,0,15,1,deferred,low,9,0,457
8,1065,27,30,0,15,0,deferred,low,9,0,458
9,1065,30,30,0,15,0,deferred,low,9,0,459
10,1065,3,30,0,29,1,deferred,low,9,0,460
11,1065,6,30,0,29,1,deferred,low,9,0,461
12,1065,9,30,0,29,1,deferred,low,9,0,462
13,1065,12,30,0,29,1,deferred,low,9,0,463
14,1065,15,30,0,29,1,deferred,low,9,0,464
15,1065,18,30,0,29,1,deferred,low,9,0,465
16,1065,21,30,0,29,1,deferred,low,9,0,466
17,1065,24,30,0,29,0,deferred,low,9,0,467
18,1065,27,30,0,29,0,deferred,low,9,0,468
19,1065,30,30,0,29,0,deferred,low,9,0,469
20,1065,3,30,0,7,1,deferred,low,9,0,470
21,1065,6,30,0,7,1,deferred,low,9,0,471
22,1065,9,30,0,7,1,deferred,low,9,0,472
23,1065,12,30,0,7,1,deferred,low,9,0,473
24,1065,15,30,0,7,1,deferred,low,9,0,474
25,1065,18,30,0,7,1,deferred,low,9,0,475
26,1065,21,30,0,7,1,deferred,low,9,0,476
27,1065,24,30,0,7,1,deferred,low,9,0,477
28,1065,27,30,0,7,1,deferred,low,9,0,478
29,1065,30,30,0,7,0,deferred,low,9,0,479
30,1065,3,30,0,56,1,deferred,low,9,0,480
31,1065,6,30,0,56,1,deferred,low,9,0,481
32,1065,9,30,0,56,1,deferred,low,9,0,482
33,1065,12,30,0,56,1,deferred,low,9,0,483
34,1065,15,30,0,56,1,deferred,low,9,0,484
35,1065,18,30,0,56,1,deferred,low,9,0,485
36,1065,21,30,0,56,0,deferred,low,9,0,486
37,1065,24,30,0,56,0,deferred,low,9,0,487
38,1065,27,30,0,56,0,deferred,low,9,0,488
39,1065,30,30,0,56,0,deferred,low,9,0,489
40,1065,3,30,0,101,1,deferred,low,9,0,490
41,1065,6,30,0,101,1,deferred,low,9,0,491
42,1065,9,30,0,101,1,deferred,low,9,0,492
43,1065,12,30,0,101,1,deferred,low,9,0,493
44,1065,15,30,0,101,0,deferred,low,9,0,494
45,1065,18,30,0,101,0,deferred,low,9,0,495
46,1065,21,30,0,101,0,deferred,low,9,0,496
47,1065,24,30,0,101,0,deferred,low,9,0,497
48,1065,27,30,0,101,0,deferred,low,9,0,498
49,1065,30,30,0,101,0,deferred,low,9,0,499
0,1059,30,30,0,15,0,deferred,low,10,0,500
1,1059,27,30,0,15,0,deferred,low,10,0,501
2,1059,24,30,0,15,0,deferred,low,10,0,502
3,1059,21,30,0,15,0,deferred,low,10,0,503
4,1059,18,30,0,15,1,deferred,low,10,0,504
5,1059,15,30,0,15,1,deferred,low,10,0,505
6,1059,12,30,0,15,1,deferred,low,10,0,506
7,1059,9,30,0,15,1,deferred,low,10,0,507
8,1059,6,30,0,15,1,deferred,low,10,0,508
9,1059,3,30,0,15,1,deferred,low,10,0,509
10,1059,30,30,0,7,0,deferred,low,10,0,510
11,1059,27,30,0,7,0,deferred,low,10,0,511
12,1059,24,30,0,7,0,deferred,low,10,0,512
13,1059,21,30,0,7,1,deferred,low,10,0,513
14,1059,18,30,0,7,1,deferred,low,10,0,514
15,1059,15,30,0,7,1,deferred,low,10,0,515
16,1059,12,30,0,7,1,deferred,low,10,0,516
