Participant,block_order,trial,A,B,DA,DB,R,index
4003,2,1,3,30,0,15,1,1
4003,2,2,6,30,0,15,1,1
4003,2,3,9,30,0,15,0,1
4003,2,4,12,30,0,15,0,1
4003,2,5,15,30,0,15,0,1
4003,2,6,18,30,0,15,0,1
4003,2,7,21,30,0,15,0,1
4003,2,8,24,30,0,15,0,1
4003,2,9,27,30,0,15,0,1
4003,2,10,30,30,0,15,0,1
4003,2,11,3,30,0,29,1,2
4003,2,12,6,30,0,29,1,2
4003,2,13,9,30,0,29,1,2
4003,2,14,12,30,0,29,1,2
4003,2,15,15,30,0,29,1,2
4003,2,16,18,30,0,29,1,2
4003,2,17,21,30,0,29,1,2
4003,2,18,24,30,0,29,1,2
4003,2,19,27,30,0,29,1,2
4003,2,20,30,30,0,29,0,2
4003,2,21,3,30,0,7,1,3
4003,2,22,6,30,0,7,1,3
4003,2,23,9,30,0,7,1,3
4003,2,24,12,30,0,7,1,3
4003,2,25,15,30,0,7,1,3
4003,2,26,18,30,0,7,1,3
4003,2,27,21,30,0,7,1,3
4003,2,28,24,30,0,7,1,3
4003,2,29,27,30,0,7,1,3
4003,2,30,30,30,0,7,1,3
4003,2,31,3,30,0,56,1,4
4003,2,32,6,30,0,56,1,4
4003,2,33,9,30,0,56,1,4
4003,2,34,12,30,0,56,1,4
4003,2,35,15,30,0,56,1,4
4003,2,36,18,30,0,56,1,4
4003,2,37,21,30,0,56,0,4
4003,2,38,24,30,0,56,0,4
4003,2,39,27,30,0,56,0,4
4003,2,40,30,30,0,56,0,4
4003,2,41,3,30,0,101,1,5
4003,2,42,6,30,0,101,0,5
4003,2,43,9,30,0,101,0,5
4003,2,44,12,30,0,101,0,5
4003,2,45,15,30,0,101,0,5
4003,2,46,18,30,0,101,0,5
4003,2,47,21,30,0,101,0,5
4003,2,48,24,30,0,101,0,5
4003,2,49,27,30,0,101,0,5
4003,2,50,30,30,0,101,0,5
