Participant,block_order,trial,A,B,DA,DB,R,index
4014,6,1,-3,-30,0,56,0,1
4014,6,2,-6,-30,0,56,0,1
4014,6,3,-9,-30,0,56,0,1
4014,6,4,-12,-30,0,56,0,1
4014,6,5,-15,-30,0,56,0,1
4014,6,6,-18,-30,0,56,1,1
4014,6,7,-21,-30,0,56,1,1
4014,6,8,-24,-30,0,56,1,1
4014,6,9,-27,-30,0,56,1,1
4014,6,10,-30,-30,0,56,1,1
4014,6,11,-3,-30,0,29,0,2
4014,6,12,-6,-30,0,29,0,2
4014,6,13,-9,-30,0,29,0,2
4014,6,14,-12,-30,0,29,0,2
4014,6,15,-15,-30,0,29,0,2
4014,6,16,-18,-30,0,29,0,2
4014,6,17,-21,-30,0,29,0,2
4014,6,18,-24,-30,0,29,0,2
4014,6,19,-27,-30,0,29,1,2
4014,6,20,-30,-30,0,29,1,2
4014,6,21,-3,-30,0,101,1,3
4014,6,22,-6,-30,0,101,1,3
4014,6,23,-9,-30,0,101,1,3
4014,6,24,-12,-30,0,101,1,3
4014,6,25,-15,-30,0,101,1,3
4014,6,26,-18,-30,0,101,1,3
4014,6,27,-21,-30,0,101,1,3
4014,6,28,-24,-30,0,101,1,3
4014,6,29,-27,-30,0,101,1,3
4014,6,30,-30,-30,0,101,1,3
4014,6,31,-3,-30,0,15,0,4
4014,6,32,-6,-30,0,15,0,4
4014,6,33,-9,-30,0,15,0,4
4014,6,34,-12,-30,0,15,0,4
4014,6,35,-15,-30,0,15,0,4
4014,6,36,-18,-30,0,15,0,4
4014,6,37,-21,-30,0,15,0,4
4014,6,38,-24,-30,0,15,0,4
4014,6,39,-27,-30,0,15,1,4
4014,6,40,-30,-30,0,15,1,4
4014,6,41,-3,-30,0,7,0,5
4014,6,42,-6,-30,0,7,0,5
4014,6,43,-9,-30,0,7,0,5
4014,6,44,-12,-30,0,7,0,5
4014,6,45,-15,-30,0,7,0,5
4014,6,46,-18,-30,0,7,0,5
4014,6,47,-21,-30,0,7,0,5
4014,6,48,-24,-30,0,7,0,5
4014,6,49,-27,-30,0,7,1,5
4014,6,50,-30,-30,0,7,1,5
