Participant,block_order,trial,A,B,DA,DB,R,index
4072,9,1,-30,-30,0,15,1,1
4072,9,2,-27,-30,0,15,0,1
4072,9,3,-24,-30,0,15,0,1
4072,9,4,-21,-30,0,15,0,1
4072,9,5,-18,-30,0,15,1,1
4072,9,6,-15,-30,0,15,0,1
4072,9,7,-12,-30,0,15,0,1
4072,9,8,-9,-30,0,15,0,1
4072,9,9,-6,-30,0,15,0,1
4072,9,10,-3,-30,0,15,0,1
4072,9,11,-30,-30,0,7,1,2
4072,9,12,-27,-30,0,7,0,2
4072,9,13,-24,-30,0,7,0,2
4072,9,14,-21,-30,0,7,0,2
4072,9,15,-18,-30,0,7,0,2
4072,9,16,-15,-30,0,7,0,2
4072,9,17,-12,-30,0,7,0,2
4072,9,18,-9,-30,0,7,0,2
4072,9,19,-6,-30,0,7,0,2
4072,9,20,-3,-30,0,7,0,2
4072,9,21,-30,-30,0,29,1,3
4072,9,22,-27,-30,0,29,1,3
4072,9,23,-24,-30,0,29,1,3
4072,9,24,-21,-30,0,29,0,3
4072,9,25,-18,-30,0,29,1,3
4072,9,26,-15,-30,0,29,1,3
4072,9,27,-12,-30,0,29,0,3
4072,9,28,-9,-30,0,29,0,3
4072,9,29,-6,-30,0,29,0,3
4072,9,30,-3,-30,0,29,0,3
4072,9,31,-30,-30,0,101,1,4
4072,9,32,-27,-30,0,101,1,4
4072,9,33,-24,-30,0,101,1,4
4072,9,34,-21,-30,0,101,1,4
4072,9,35,-18,-30,0,101,1,4
4072,9,36,-15,-30,0,101,1,4
4072,9,37,-12,-30,0,101,1,4
4072,9,38,-9,-30,0,101,1,4
4072,9,39,-6,-30,0,101,1,4
4072,9,40,-3,-30,0,101,1,4
4072,9,41,-30,-30,0,56,1,5
4072,9,42,-27,-30,0,56,1,5
4072,9,43,-24,-30,0,56,1,5
4072,9,44,-21,-30,0,56,1,5
4072,9,45,-18,-30,0,56,1,5
4072,9,46,-15,-30,0,56,1,5
4072,9,47,-12,-30,0,56,1,5
4072,9,48,-9,-30,0,56,1,5
4072,9,49,-6,-30,0,56,1,5
4072,9,50,-3,-30,0,56,1,5
