Participant,block_order,trial,A,B,DA,DB,R,index
4052,4,1,30,30,0,56,0,1
4052,4,2,27,30,0,56,0,1
4052,4,3,24,30,0,56,0,1
4052,4,4,21,30,0,56,1,1
4052,4,5,18,30,0,56,0,1
4052,4,6,15,30,0,56,0,1
4052,4,7,12,30,0,56,0,1
4052,4,8,9,30,0,56,0,1
4052,4,9,6,30,0,56,0,1
4052,4,10,3,30,0,56,1,1
4052,4,11,30,30,0,101,0,2
4052,4,12,27,30,0,101,1,2
4052,4,13,24,30,0,101,1,2
4052,4,14,21,30,0,101,1,2
4052,4,15,18,30,0,101,0,2
4052,4,16,15,30,0,101,0,2
4052,4,17,12,30,0,101,0,2
4052,4,18,9,30,0,101,0,2
4052,4,19,6,30,0,101,0,2
4052,4,20,3,30,0,101,0,2
4052,4,21,30,30,0,29,1,3
4052,4,22,27,30,0,29,0,3
4052,4,23,24,30,0,29,0,3
4052,4,24,21,30,0,29,0,3
4052,4,25,18,30,0,29,0,3
4052,4,26,15,30,0,29,0,3
4052,4,27,12,30,0,29,0,3
4052,4,28,9,30,0,29,0,3
4052,4,29,6,30,0,29,0,3
4052,4,30,3,30,0,29,0,3
4052,4,31,30,30,0,7,1,4
4052,4,32,27,30,0,7,1,4
4052,4,33,24,30,0,7,1,4
4052,4,34,21,30,0,7,1,4
4052,4,35,18,30,0,7,1,4
4052,4,36,15,30,0,7,0,4
4052,4,37,12,30,0,7,0,4
4052,4,38,9,30,0,7,0,4
4052,4,39,6,30,0,7,1,4
4052,4,40,3,30,0,7,0,4
4052,4,41,30,30,0,15,0,5
4052,4,42,27,30,0,15,0,5
4052,4,43,24,30,0,15,0,5
4052,4,44,21,30,0,15,0,5
4052,4,45,18,30,0,15,0,5
4052,4,46,15,30,0,15,0,5
4052,4,47,12,30,0,15,0,5
4052,4,48,9,30,0,15,0,5
4052,4,49,6,30,0,15,1,5
4052,4,50,3,30,0,15,0,5
