Participant,block_order,trial,A,B,DA,DB,R,index
4082,8,1,3,30,0,7,1,1
4082,8,2,6,30,0,7,0,1
4082,8,3,9,30,0,7,1,1
4082,8,4,12,30,0,7,0,1
4082,8,5,15,30,0,7,0,1
4082,8,6,18,30,0,7,0,1
4082,8,7,21,30,0,7,1,1
4082,8,8,24,30,0,7,0,1
4082,8,9,27,30,0,7,0,1
4082,8,10,30,30,0,7,0,1
4082,8,11,3,30,0,101,1,2
4082,8,12,6,30,0,101,0,2
4082,8,13,9,30,0,101,1,2
4082,8,14,12,30,0,101,0,2
4082,8,15,15,30,0,101,0,2
4082,8,16,18,30,0,101,0,2
4082,8,17,21,30,0,101,0,2
4082,8,18,24,30,0,101,0,2
4082,8,19,27,30,0,101,0,2
4082,8,20,30,30,0,101,0,2
4082,8,21,3,30,0,15,1,3
4082,8,22,6,30,0,15,1,3
4082,8,23,9,30,0,15,1,3
4082,8,24,12,30,0,15,1,3
4082,8,25,15,30,0,15,0,3
4082,8,26,18,30,0,15,1,3
4082,8,27,21,30,0,15,1,3
4082,8,28,24,30,0,15,1,3
4082,8,29,27,30,0,15,0,3
4082,8,30,30,30,0,15,0,3
4082,8,31,3,30,0,56,0,4
4082,8,32,6,30,0,56,0,4
4082,8,33,9,30,0,56,0,4
4082,8,34,12,30,0,56,0,4
4082,8,35,15,30,0,56,1,4
4082,8,36,18,30,0,56,0,4
4082,8,37,21,30,0,56,0,4
4082,8,38,24,30,0,56,0,4
4082,8,39,27,30,0,56,0,4
4082,8,40,30,30,0,56,0,4
4082,8,41,3,30,0,29,1,5
4082,8,42,6,30,0,29,0,5
4082,8,43,9,30,0,29,1,5
4082,8,44,12,30,0,29,0,5
4082,8,45,15,30,0,29,0,5
4082,8,46,18,30,0,29,0,5
4082,8,47,21,30,0,29,0,5
4082,8,48,24,30,0,29,0,5
4082,8,49,27,30,0,29,0,5
4082,8,50,30,30,0,29,0,5
