Participant,block_order,trial,A,B,DA,DB,R,index
4010,7,1,3,30,0,101,0,1
4010,7,2,6,30,0,101,1,1
4010,7,3,9,30,0,101,0,1
4010,7,4,12,30,0,101,0,1
4010,7,5,15,30,0,101,1,1
4010,7,6,18,30,0,101,0,1
4010,7,7,21,30,0,101,0,1
4010,7,8,24,30,0,101,0,1
4010,7,9,27,30,0,101,0,1
4010,7,10,30,30,0,101,0,1
4010,7,11,3,30,0,56,0,2
4010,7,12,6,30,0,56,0,2
4010,7,13,9,30,0,56,1,2
4010,7,14,12,30,0,56,0,2
4010,7,15,15,30,0,56,0,2
4010,7,16,18,30,0,56,0,2
4010,7,17,21,30,0,56,0,2
4010,7,18,24,30,0,56,0,2
4010,7,19,27,30,0,56,0,2
4010,7,20,30,30,0,56,0,2
4010,7,21,3,30,0,7,1,3
4010,7,22,6,30,0,7,1,3
4010,7,23,9,30,0,7,0,3
4010,7,24,12,30,0,7,1,3
4010,7,25,15,30,0,7,0,3
4010,7,26,18,30,0,7,0,3
4010,7,27,21,30,0,7,0,3
4010,7,28,24,30,0,7,0,3
4010,7,29,27,30,0,7,1,3
4010,7,30,30,30,0,7,0,3
4010,7,31,3,30,0,29,0,4
4010,7,32,6,30,0,29,0,4
4010,7,33,9,30,0,29,0,4
4010,7,34,12,30,0,29,1,4
4010,7,35,15,30,0,29,0,4
4010,7,36,18,30,0,29,0,4
4010,7,37,21,30,0,29,0,4
4010,7,38,24,30,0,29,0,4
4010,7,39,27,30,0,29,0,4
4010,7,40,30,30,0,29,0,4
4010,7,41,3,30,0,15,1,5
4010,7,42,6,30,0,15,0,5
4010,7,43,9,30,0,15,0,5
4010,7,44,12,30,0,15,0,5
4010,7,45,15,30,0,15,1,5
4010,7,46,18,30,0,15,0,5
4010,7,47,21,30,0,15,0,5
4010,7,48,24,30,0,15,1,5
4010,7,49,27,30,0,15,0,5
4010,7,50,30,30,0,15,0,5
