Participant,block_order,trial,A,B,DA,DB,R,index
3071,1,1,-3,-30,0,7,0,1
3071,1,2,-6,-30,0,7,0,1
3071,1,3,-9,-30,0,7,0,1
3071,1,4,-12,-30,0,7,0,1
3071,1,5,-15,-30,0,7,0,1
3071,1,6,-18,-30,0,7,0,1
3071,1,7,-21,-30,0,7,1,1
3071,1,8,-24,-30,0,7,1,1
3071,1,9,-27,-30,0,7,1,1
3071,1,10,-30,-30,0,7,1,1
3071,1,11,-3,-30,0,15,0,2
3071,1,12,-6,-30,0,15,0,2
3071,1,13,-9,-30,0,15,0,2
3071,1,14,-12,-30,0,15,0,2
3071,1,15,-15,-30,0,15,0,2
3071,1,16,-18,-30,0,15,0,2
3071,1,17,-21,-30,0,15,0,2
3071,1,18,-24,-30,0,15,0,2
3071,1,19,-27,-30,0,15,1,2
3071,1,20,-30,-30,0,15,1,2
3071,1,21,-3,-30,0,101,0,3
3071,1,22,-6,-30,0,101,0,3
3071,1,23,-9,-30,0,101,0,3
3071,1,24,-12,-30,0,101,1,3
3071,1,25,-15,-30,0,101,0,3
3071,1,26,-18,-30,0,101,0,3
3071,1,27,-21,-30,0,101,0,3
3071,1,28,-24,-30,0,101,1,3
3071,1,29,-27,-30,0,101,1,3
3071,1,30,-30,-30,0,101,1,3
3071,1,31,-3,-30,0,29,0,4
3071,1,32,-6,-30,0,29,0,4
3071,1,33,-9,-30,0,29,0,4
3071,1,34,-12,-30,0,29,0,4
3071,1,35,-15,-30,0,29,0,4
3071,1,36,-18,-30,0,29,0,4
3071,1,37,-21,-30,0,29,0,4
3071,1,38,-24,-30,0,29,0,4
3071,1,39,-27,-30,0,29,1,4
3071,1,40,-30,-30,0,29,1,4
3071,1,41,-3,-30,0,56,0,5
3071,1,42,-6,-30,0,56,0,5
3071,1,43,-9,-30,0,56,0,5
3071,1,44,-12,-30,0,56,0,5
3071,1,45,-15,-30,0,56,0,5
3071,1,46,-18,-30,0,56,0,5
3071,1,47,-21,-30,0,56,1,5
3071,1,48,-24,-30,0,56,1,5
3071,1,49,-27,-30,0,56,1,5
3071,1,50,-30,-30,0,56,1,5
