Participant,block_order,trial,A,B,DA,DB,R,index
3095,2,1,-3,-30,0,15,0,1
3095,2,2,-6,-30,0,15,0,1
3095,2,3,-9,-30,0,15,0,1
3095,2,4,-12,-30,0,15,0,1
3095,2,5,-15,-30,0,15,0,1
3095,2,6,-18,-30,0,15,0,1
3095,2,7,-21,-30,0,15,1,1
3095,2,8,-24,-30,0,15,0,1
3095,2,9,-27,-30,0,15,1,1
3095,2,10,-30,-30,0,15,1,1
3095,2,11,-3,-30,0,29,0,2
3095,2,12,-6,-30,0,29,0,2
3095,2,13,-9,-30,0,29,0,2
3095,2,14,-12,-30,0,29,0,2
3095,2,15,-15,-30,0,29,1,2
3095,2,16,-18,-30,0,29,0,2
3095,2,17,-21,-30,0,29,1,2
3095,2,18,-24,-30,0,29,1,2
3095,2,19,-27,-30,0,29,1,2
3095,2,20,-30,-30,0,29,1,2
3095,2,21,-3,-30,0,7,0,3
3095,2,22,-6,-30,0,7,0,3
3095,2,23,-9,-30,0,7,0,3
3095,2,24,-12,-30,0,7,0,3
3095,2,25,-15,-30,0,7,0,3
3095,2,26,-18,-30,0,7,0,3
3095,2,27,-21,-30,0,7,0,3
3095,2,28,-24,-30,0,7,1,3
3095,2,29,-27,-30,0,7,0,3
3095,2,30,-30,-30,0,7,1,3
3095,2,31,-3,-30,0,56,0,4
3095,2,32,-6,-30,0,56,0,4
3095,2,33,-9,-30,0,56,0,4
3095,2,34,-12,-30,0,56,0,4
3095,2,35,-15,-30,0,56,0,4
3095,2,36,-18,-30,0,56,0,4
3095,2,37,-21,-30,0,56,1,4
3095,2,38,-24,-30,0,56,1,4
3095,2,39,-27,-30,0,56,1,4
3095,2,40,-30,-30,0,56,1,4
3095,2,41,-3,-30,0,101,0,5
3095,2,42,-6,-30,0,101,0,5
3095,2,43,-9,-30,0,101,0,5
3095,2,44,-12,-30,0,101,0,5
3095,2,45,-15,-30,0,101,0,5
3095,2,46,-18,-30,0,101,1,5
3095,2,47,-21,-30,0,101,1,5
3095,2,48,-24,-30,0,101,1,5
3095,2,49,-27,-30,0,101,1,5
3095,2,50,-30,-30,0,101,1,5
